v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Just sleeping..and surfing,,,
ham,Was it something u ate?,,,
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,,,
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
ham,I've reached home finally...,,,
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",,,
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,,,
ham,But we havent got da topic yet rite?,,,
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,,,
ham,I ask if u meeting da ge tmr nite...,,,
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 ,,,
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
spam,RCT' THNQ Adrian for U text. Rgds Vatian,,,
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,,,
ham,"I'd say that's a good sign but, well, you know my track record at reading women",,,
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,,,
ham,If I die I want u to have all my stuffs.,,,
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",,,
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.,,,
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,,,
ham,Its worse if if uses half way then stops. Its better for him to complete it.,,,
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
ham,Dont kick coco when he's down,,,
ham,Ugh just got outta class,,,
ham,"Sorry, I'll call later",,,
ham,"I'm a guy, browsin is compulsory",,,
ham,ÌÏ comin to fetch us oredi...,,,
ham,Then u go back urself lor...,,,
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)",,,
ham,Is she replying. Has boye changed his phone number,,,
ham,"There'll be a minor shindig at my place later tonight, you interested?",,,
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Its a part of checking IQ,,,
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...,,,
ham,"K, I might come by tonight then if my class lets out early",,,
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,,,
ham,I want  &lt;#&gt;  rs da:)do you have it?,,,
ham,We are both fine. Thanks,,,
ham,Okie.. Thanx..,,,
ham,I can take you at like noon,,,
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you,,,
ham,That is wondar full flim.,,,
ham,Shb b ok lor... Thanx...,,,
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
ham,It should take about  &lt;#&gt;  min,,,
ham,Ugh. Gotta drive back to sd from la. My butt is sore.,,,
ham,What's ur pin?,,,
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,,,
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,,,
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,,,
ham,There bold 2  &lt;#&gt; . Is that yours,,,
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,,,
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,,,
ham,"Aight, I'm chillin in a friend's room so text me when you're on the way",,,
ham,Thanks love. But am i doing torch or bold.,,,
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",,,
ham,I am not sure about night menu. . . I know only about noon menu,,,
ham,Anything lar then Ì_ not going home 4 dinner?,,,
ham,soon you will have the real thing princess! Do i make you wet? :),,,
ham,Nope i'm not drivin... I neva develop da photos lei...,,,
ham,"Just dropped em off, omw back now",,,
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,,,
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,,,
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,,,
ham,Yunny... I'm goin to be late,,,
ham,\CHA QUITEAMUZING THATåÕSCOOL BABE,"PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE \""""",,
ham,Sent me ur email id soon,,,
ham,"Jay told me already, will do",,,
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",,,
ham,Ic. There are a lotta childporn cars then.,,,
ham,Yo sorry was in the shower sup,,,
ham,It took Mr owl 3 licks,,,
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?""",,,
ham,"St andre, virgil's cream",,,
ham,"Probably gonna be here for a while, see you later tonight &lt;)",,,
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,,,
ham,I attended but nothing is there.,,,
ham,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",,,
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
ham,It's ok lar. U sleep early too... Nite...,,,
ham,Free any day but i finish at 6 on mon n thurs...,,,
ham,"Nah, I'm a perpetual DD",,,
ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,,,
ham,They did't play one day last year know even though they have very good team.. Like india.,,,
ham,Networking job is there.,,,
ham,I dont understand your message.,,,
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,,,
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,,,
ham,I.ll post her out l8r. In class,,,
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,,,
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,
spam,Adult 18 Content Your video will be with you shortly,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",,,
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,,,
ham,"Hey elaine, is today's meeting still on?",,,
ham,Good evening! How are you?,,,
ham,2 and half years i missed your friendship:-),,,
ham,Ya just telling abt tht incident..,,,
ham,Be happy there. I will come after noon,,,
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,,,
ham,I liked your new house,,,
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc",,,
ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*""",,,
ham,I've told you everything will stop. Just dont let her get dehydrated.,,,
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",,,
ham,I havent lei.. Next mon can?,,,
ham,Hey. You got any mail?,,,
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,,,
ham,Yo guess what I just dropped,,,
ham,Hey you around? I've got enough for a half + the ten I owe you,,,
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,,,
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,,,
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,,,
ham,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,,,
ham,Check audrey's status right now,,,
ham,Yar else i'll thk of all sorts of funny things.,,,
ham,Gudnite....tc...practice going on,,,
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,
ham,At home also.,,,
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",,,
ham,Huh so fast... Dat means u havent finished painting?,,,
spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",,,
ham,"It's that time of the week again, ryan",,,
ham,I have a rather prominent bite mark on my right cheek,,,
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,,,
ham,I went to project centre,,,
ham,I am 6 ft. We will be a good combination!,,,
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",,,
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,,,
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,,,
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",,,
ham,"Received, understood n acted upon!",,,
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,,,
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
ham,Haha... Hope Ì_ can hear the receipt sound... Gd luck!,,,
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,,,
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,,,
ham,How much you got for cleaning,,,
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,,,
ham,"Sorry, I'll call later",,,
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,,,
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\""""",,,
ham,"Awesome, lemme know whenever you're around",,,
ham,Ay wana meet on sat?Ì_ wkg on sat?,,,
ham,Cancel cheyyamo?and get some money back?,,,
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",,,
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,,,
ham,It shall be fine. I have avalarr now. Will hollalater,,,
ham,What your plan for pongal?,,,
ham,Tension ah?what machi?any problem?,,,
ham,Simply sitting and watching match in office..,,,
ham,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
ham,Unni thank you dear for the recharge..Rakhesh,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
ham,Nvm it's ok...,,,
ham,Short But Cute : \ Be a good person ," but dont try to prove\"" ..... Gud mrng...""",,
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",,,
ham,I surely dont forgot to come:)i will always be in touch in with you:-),,,
ham,I'll meet you in the lobby,,,
ham,\YEH I AM DEF UP4 SOMETHING SAT,"JUST GOT PAYED2DAY & I HAVBEEN GIVEN Aå£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV\""""",,
ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K,,,
ham,Ok i thk i got it. Then u wan me 2 come now or wat?,,,
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,,,
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",,,
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,,,
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,,
ham,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,,,
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",,,
ham,K.i will send in  &lt;#&gt;  min:),,,
ham,"Aight, we'll head out in a few",,,
ham,Ok...,,,
ham,I'll let you know when it kicks in,,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
ham,Then she dun believe wat?,,,
ham,Well done and ! luv ya all ,,,
ham,No my mum went 2 dentist.,,,
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,,,
ham,Have you started in skye,,,
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,,,
ham,I like you peoples very much:) but am very shy pa.,,,
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",,,
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,,,
ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,,,
ham,I'll text you when I drop x off,,,
ham,We have all rounder:)so not required:),,,
ham,Why don't you wait 'til at least wednesday to see if you get your .,,,
ham,"Are you being good, baby? :)",,,
ham,What r u cooking me for dinner?,,,
ham,Are you still getting the goods.,,,
ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,,,
ham,Tiwary to rcb.battle between bang and kochi.,,,
ham,Prepare to be pounded every night...,,,
ham,Can you say what happen,,,
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,,,
ham,Yar lor... How u noe? U used dat route too?,,,
ham,:-) :-),,,
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
ham,Lol its ok I didn't remember til last nite,,,
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",,,
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,,,
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,,,
ham,Ok.,,,
ham,Nope. I just forgot. Will show next week,,,
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,,,
ham,Have you been practising your curtsey?,,,
ham,No. I dont want to hear anything,,,
ham,Go chase after her and run her over while she's crossing the street,,,
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,,,
ham,Yeah I'll try to scrounge something up,,,
ham,"Merry Christmas to you too babe, i love ya *kisses*",,,
ham,Friends that u can stay on fb chat with,,,
ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",,,
ham,I did. One slice and one breadstick. Lol,,,
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,,,
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,,,
ham,Yup,,,
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.,,,
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",,,
ham,How is it possible to teach you. And where.,,,
ham,"Aight, let me know when you're gonna be around usf",,,
ham,"Nah man, my car is meant to be crammed full of people",,,
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,,,
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,,,
ham,May i call You later Pls,,,
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,,,
ham,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.,,,
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,,,
spam,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,,,
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
ham,Ya even those cookies have jelly on them,,,
ham,You still around? Looking to pick up later,,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
ham,ARR birthday today:) i wish him to get more oscar.,,,
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,,,
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",,,
ham,I'm done. C Ì_ there.,,,
ham,Where wuld I be without my baby? The thought alone mite break me and I donåÕt wanna go crazy but everyboy needs his lady xxxxxxxx,,,
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
ham,U dun say so early hor... U c already then say...,,,
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,,,
ham,When are you going to ride your bike?,,,
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",,,
ham,Dont talk to him ever ok its my word.,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
ham,Am only searching for good dual sim mobile pa.,,,
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,,,
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
ham,You sure your neighbors didnt pick it up,,,
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,,,
ham,Hows the street where the end of library walk is?,,,
ham,Neshanth..tel me who r u?,,,
ham,Are you willing to go for apps class.,,,
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,,,
ham,K..k..i'm also fine:)when will you complete the course?,,,
ham,When you came to hostel.,,,
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,,,
ham,Ok lor.,,,
ham,Sorry de i went to shop.,,,
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,,,
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,,,
ham,Sorry. || mail? || ,,,
ham,Pls i wont belive god.not only jesus.,,,
ham,I uploaded mine to Facebook,,,
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
ham,Delhi and chennai still silent.,,,
ham,I'm job profile seems like bpo..,,,
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",,,
ham,Are you this much buzy,,,
ham,Will Ì_ b going to esplanade fr home?,,,
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",,,
ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",,,
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",,,
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,,,
ham,"Lets use it next week, princess :)",,,
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,,,
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
ham,How many times i told in the stage all use to laugh. You not listen aha.,,,
ham,"Sorry battery died, yeah I'm here",,,
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,,,
ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,,,
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,,,
ham,Oh wow thats gay. Will firmware update help,,,
ham,"Good stuff, will do.",,,
ham,Sure! I am driving but will reach my destination soon.,,,
ham,Lol alright i was thinkin that too haha,,,
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,,,
ham,Can you talk with me..,,,
ham,Must come later.. I normally bathe him in da afternoon mah..,,,
ham,Not course. Only maths one day one chapter with in one month we can finish.,,,
ham,So i asked how's anthony. Dad. And your bf,,,
ham,....photoshop makes my computer shut down.,,,
ham,U're welcome... Caught u using broken english again...,,,
ham,JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,,,
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,,,
ham,Thts wat Wright Brother did to fly..,,,
ham,They finally came to fix the ceiling.,,,
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",,,
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ",,,
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",,,
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",,,
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,,,
ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,,,
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
ham,"What will we do in the shower, baby?",,,
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,,,
ham,Can do lor...,,,
ham,"Yup. Anything lor, if u dun wan it's ok...",,,
ham,"Sir, I am waiting for your mail.",,,
ham,Can u look 4 me in da lib i got stuff havent finish yet.,,,
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.,,,
ham,That's a shame! Maybe cld meet for few hrs tomo?,,,
ham,U still painting ur wall?,,,
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.,,,
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,,,
ham,Did you show him and wot did he say or could u not c him 4 dust?,,,
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,,,
ham,Jus came back fr lunch wif my sis only. U leh?,,,
ham,2 laptop... I noe infra but too slow lar... I wan fast one,,,
ham,I need details about that online job.,,,
ham,R u saying i should re order the slippers cos i had to pay for returning it.,,,
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. ",,,
ham,"That's very rude, you on campus?",,,
ham,That depends. How would you like to be treated? :),,,
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,He telling not to tell any one. If so treat for me hi hi hi,,,
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply,,,
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,,,
spam,SMS. ac sun0819 posts HELLO:\You seem cool," wanted to say hi. HI!!!\"" Stop? Send STOP to 62468""",,
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",,,
ham,Carlos'll be here in a minute if you still need to buy,,,
ham,"How long before you get reply, just defer admission til next semester",,,
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,,,
ham,Ok then i come n pick u at engin?,,,
